movie_title,tmdb_id,review_count,letterboxd_rating
A Nightmare on Elm Street 3: Dream Warriors,10072,10,3.53 out of 5
When Evil Lurks,744857,10,3.53 out of 5
The Faculty,9276,10,
Night of the Comet,18462,10,3.29 out of 5
Impetigore,572468,10,3.37 out of 5
Daughters of Darkness,46175,10,
Lonely Water,1147875,10,3.63 out of 5
The Cabin in the Woods,22970,10,3.39 out of 5
Noroi: The Curse,21506,10,3.63 out of 5
Exhuma,838209,10,3.59 out of 5
Prince of Darkness,8852,10,3.58 out of 5
Evil Dead,109428,10,3.40 out of 5
Witchfinder General,31965,10,3.41 out of 5
Tales from the Crypt: Demon Knight,9059,10,3.42 out of 5
Hiruko the Goblin,38405,10,3.42 out of 5
Possessor,435615,10,3.57 out of 5
Wild Zero,16231,10,3.57 out of 5
From Beyond the Grave,48014,10,3.29 out of 5
Gremlins 2: The New Batch,928,10,3.51 out of 5
All Cheerleaders Die,210908,10,2.82 out of 5
Kill List,74725,10,3.45 out of 5
Terrified,489430,10,2.80 out of 5
The Boxer's Omen,49239,10,3.78 out of 5
Enys Men,740049,10,3.06 out of 5
Return of the Living Dead III,28260,10,3.06 out of 5
#Alive,614696,10,3.08 out of 5
Hell House LLC,359246,10,3.08 out of 5
Midsommar,530385,10,3.76 out of 5
Little Nemo: Adventures in Slumberland,22611,10,3.48 out of 5
"Suffer, Little Children",216187,10,3.08 out of 5
The Frighteners,10779,10,3.46 out of 5
Hellbender,848886,10,3.11 out of 5
Xtro,25834,10,3.14 out of 5
Knife+Heart,475930,10,3.55 out of 5
Tumbbad,538858,10,3.68 out of 5
Hagazussa,466565,10,3.20 out of 5
Dark Night of the Scarecrow,30931,10,3.27 out of 5
Nightbreed,20481,10,3.27 out of 5
Deadstream,886083,10,3.27 out of 5
Night of the Creeps,15762,10,3.50 out of 5
Slither,9035,10,3.22 out of 5
The 'Burbs,11974,10,3.45 out of 5
In Fabric,475220,10,3.21 out of 5
Drag Me to Hell,16871,10,3.19 out of 5
WNUF Halloween Special,210842,10,3.19 out of 5
Rare Exports: A Christmas Tale,48395,10,3.19 out of 5
"Kill, Baby... Kill!",28049,9,3.53 out of 5
Spirit,419603,9,
Jennifer's Body,19994,9,3.45 out of 5
The Last Will and Testament of Rosalind Leigh,106717,9,2.87 out of 5
Hellraiser,9003,9,
City of the Living Dead,24920,9,3.45 out of 5
