data-object-id,data-original-title,list_entry_id,film_slug,URL,tmdb_id,imdb_id,title,year
filmListEntry:4314391114,Final Destination 2 (2003) ,filmListEntry:4314391114,final-destination-2,https://letterboxd.com/film/final-destination-2/,9358,tt0309593,Final Destination 2,
filmListEntry:4324807027,Predator 2 (1990) ,filmListEntry:4324807027,predator-2,https://letterboxd.com/film/predator-2/,169,tt0100403,Predator 2,
filmListEntry:4361573858,I'll Always Know What You Did Last Summer (2006) ,filmListEntry:4361573858,ill-always-know-what-you-did-last-summer,https://letterboxd.com/film/ill-always-know-what-you-did-last-summer/,3602,tt0469111,I'll Always Know What You Did Last Summer,
filmListEntry:4398514598,The Demons of Ludlow (1983) ,filmListEntry:4398514598,the-demons-of-ludlow,https://letterboxd.com/film/the-demons-of-ludlow/,114619,tt0223128,The Demons of Ludlow,
filmListEntry:4398514599,The Devonsville Terror (1983) ,filmListEntry:4398514599,the-devonsville-terror,https://letterboxd.com/film/the-devonsville-terror/,98012,tt0085434,The Devonsville Terror,
filmListEntry:4398514600,Slaughter High (1986) ,filmListEntry:4398514600,slaughter-high,https://letterboxd.com/film/slaughter-high/,27886,tt0091969,Slaughter High,
filmListEntry:4398514601,Fréwaka (2024) ,filmListEntry:4398514601,frewaka,https://letterboxd.com/film/frewaka/,1189735,tt27828550,Fréwaka,
filmListEntry:4414805968,Bride of Frankenstein (1935) ,filmListEntry:4414805968,bride-of-frankenstein,https://letterboxd.com/film/bride-of-frankenstein/,229,tt0026138,Bride of Frankenstein,
filmListEntry:4437461164,Frogman (2023) ,filmListEntry:4437461164,frogman-2023,https://letterboxd.com/film/frogman-2023/,1139937,tt21377766,Frogman,
filmListEntry:4461886314,The Blob (1988) ,filmListEntry:4461886314,the-blob-1988,https://letterboxd.com/film/the-blob-1988/,9599,tt0094761,The Blob,
filmListEntry:4461886315,Halloween: Resurrection (2002) ,filmListEntry:4461886315,halloween-resurrection,https://letterboxd.com/film/halloween-resurrection/,11442,tt0220506,Halloween: Resurrection,
filmListEntry:4461886316,The Houses October Built (2014) ,filmListEntry:4461886316,the-houses-october-built,https://letterboxd.com/film/the-houses-october-built/,293572,tt1958043,The Houses October Built,
filmListEntry:4486840650,A Chinese Ghost Story (1987) ,filmListEntry:4486840650,a-chinese-ghost-story,https://letterboxd.com/film/a-chinese-ghost-story/,30421,tt0093978,A Chinese Ghost Story,
filmListEntry:4486840651,Phenomena (1985) ,filmListEntry:4486840651,phenomena,https://letterboxd.com/film/phenomena/,29161,tt0087909,Phenomena,
filmListEntry:4506949740,Izvod: Witch's Swamp (2025) ,filmListEntry:4506949740,izvod-witchs-swamp,https://letterboxd.com/film/izvod-witchs-swamp/,1592554,tt39089784,Izvod: Witch's Swamp,
filmListEntry:4515829401,Night Killer (1990) ,filmListEntry:4515829401,night-killer,https://letterboxd.com/film/night-killer/,126463,tt0401696,Night Killer,
filmListEntry:4515829402,They Live (1988) ,filmListEntry:4515829402,they-live,https://letterboxd.com/film/they-live/,8337,tt0096256,They Live,
filmListEntry:4543253388,Gremlins 2: The New Batch (1990) ,filmListEntry:4543253388,gremlins-2-the-new-batch,https://letterboxd.com/film/gremlins-2-the-new-batch/,928,tt0099700,Gremlins 2: The New Batch,
filmListEntry:4560081620,Tumbbad (2018) ,filmListEntry:4560081620,tumbbad,https://letterboxd.com/film/tumbbad/,538858,tt8239946,Tumbbad,
filmListEntry:4587998631,Horror in the High Desert (2021) ,filmListEntry:4587998631,horror-in-the-high-desert,https://letterboxd.com/film/horror-in-the-high-desert/,805682,tt13964404,Horror in the High Desert,
filmListEntry:4587999274,The Woman in Cabin 10 (2025) ,filmListEntry:4587999274,the-woman-in-cabin-10,https://letterboxd.com/film/the-woman-in-cabin-10/,1290879,tt7130300,The Woman in Cabin 10,
